installed_name,installed_version,installed_path,installed_dev,installed_optional
@jsonjoy.com/json-pack,1.1.1,node_modules/@jsonjoy.com/json-pack,True,False
@jsonjoy.com/util,1.5.0,node_modules/@jsonjoy.com/util,True,False
@leichtgewicht/ip-codec,2.0.5,node_modules/@leichtgewicht/ip-codec,True,False
@listr2/prompt-adapter-inquirer,2.0.18,node_modules/@listr2/prompt-adapter-inquirer,True,False
mute-stream,1.0.0,node_modules/@listr2/prompt-adapter-inquirer/node_modules/mute-stream,True,False
mute-stream,2.0.0,node_modules/mute-stream,True,False
@lmdb/lmdb-darwin-arm64,3.1.5,node_modules/@lmdb/lmdb-darwin-arm64,True,True
@lmdb/lmdb-darwin-x64,3.1.5,node_modules/@lmdb/lmdb-darwin-x64,True,True
@lmdb/lmdb-linux-arm,3.1.5,node_modules/@lmdb/lmdb-linux-arm,True,True
@lmdb/lmdb-linux-arm64,3.1.5,node_modules/@lmdb/lmdb-linux-arm64,True,True
@lmdb/lmdb-linux-x64,3.1.5,node_modules/@lmdb/lmdb-linux-x64,True,True
@lmdb/lmdb-win32-x64,3.1.5,node_modules/@lmdb/lmdb-win32-x64,True,True
@msgpackr-extract/msgpackr-extract-darwin-arm64,3.0.3,node_modules/@msgpackr-extract/msgpackr-extract-darwin-arm64,True,True
@msgpackr-extract/msgpackr-extract-darwin-x64,3.0.3,node_modules/@msgpackr-extract/msgpackr-extract-darwin-x64,True,True
@msgpackr-extract/msgpackr-extract-linux-arm,3.0.3,node_modules/@msgpackr-extract/msgpackr-extract-linux-arm,True,True
@msgpackr-extract/msgpackr-extract-linux-arm64,3.0.3,node_modules/@msgpackr-extract/msgpackr-extract-linux-arm64,True,True
@msgpackr-extract/msgpackr-extract-linux-x64,3.0.3,node_modules/@msgpackr-extract/msgpackr-extract-linux-x64,True,True
@msgpackr-extract/msgpackr-extract-win32-x64,3.0.3,node_modules/@msgpackr-extract/msgpackr-extract-win32-x64,True,True
@napi-rs/nice,1.0.1,node_modules/@napi-rs/nice,True,True
@napi-rs/nice-android-arm-eabi,1.0.1,node_modules/@napi-rs/nice-android-arm-eabi,True,True
@napi-rs/nice-android-arm64,1.0.1,node_modules/@napi-rs/nice-android-arm64,True,True
@napi-rs/nice-darwin-arm64,1.0.1,node_modules/@napi-rs/nice-darwin-arm64,True,True
@napi-rs/nice-darwin-x64,1.0.1,node_modules/@napi-rs/nice-darwin-x64,True,True
@napi-rs/nice-freebsd-x64,1.0.1,node_modules/@napi-rs/nice-freebsd-x64,True,True
@napi-rs/nice-linux-arm-gnueabihf,1.0.1,node_modules/@napi-rs/nice-linux-arm-gnueabihf,True,True
